id,brewery_id,name
1,812,Hocus Pocus
2,264,Grimbergen Blonde
3,779,Widdershins Barleywine
4,287,Lucifer
5,1056,Bitter
6,1385,Winter Warmer
7,1099,Winter Welcome 2007-2008
8,1099,Oatmeal Stout
9,501,Espresso Porter
10,545,Chocolate Stout
11,742,Hitachino Nest Real Ginger Brew
12,779,JuJu Ginger
13,545,The Kidd Lager
14,1099,Imperial Stout
15,1315,Oak-Aged Belgian Tripel
16,168,Ultrablonde
17,1023,Wiesen Edel Weisse
18,39,Old Foghorn 2001
19,196,Framboise
20,483,Cow Palace Scotch Ale 1998
21,1142,Bigfoot 2001
22,1142,Bigfoot 2002
23,1142,Bigfoot 2003
24,1142,Bigfoot 2004
25,1142,Bigfoot 2005
26,1220,Winter Ale
27,878,Full Moon Winter Ale
28,935,Odell IPA
29,1271,Ornery Amber Lager
30,935,Cutthroat Porter
31,1271,Maple Nut Brown Ale Ale
32,1271,Cocoa Porter
33,190,Jenlain Blonde
34,196,Blonde
35,432,Flemish Primitive Wild Ale (Demon Fish)
36,294,Witkap-Pater Tripel
37,1175,Winter Cheer
38,743,Canaster Winter Scotch
39,1307,16
40,1307,Quelque Chose
41,277,Kriek
42,170,BiÃ¨re Darbyste
43,723,Maracaibo Especial
44,432,Flemish Primitive Wild Ale (Pin Head)
45,723,Calabaza Blanca
46,901,Porter
47,901,Cardinal Pale Ale
48,176,Zinnebir Xmas
49,974,Bridal Ale 2005
50,176,Zinnebir
51,432,Saison Imperiale
52,170,La Moneuse
53,901,Red Sled Winter Ale
54,39,Christmas Ale 2007
55,176,Equinox Dark Belgian Winter
56,856,Serafijn Christmas Angel
57,160,Obovoid Empirical Stout
58,1221,Furious Beer
59,1221,Bender Beer
60,1315,Oak Aged Ebenezer
61,160,Killer Penguin
62,236,Oatmeal Stout
63,935,Isolation Ale
64,501,Festive Ale 2007
65,586,Bourbon County Stout 2007
66,670,Twelve Days
67,1056,Seriously Bad Elf
68,905,Big Shot Seasonal Ale
69,923,God Jul - Winter Ale
70,1142,Harvest Ale 2007
71,161,Nut Cracker Ale
72,779,Goosinator Smoked Doppelbock 2007
73,779,Snow Bound Winter Ale
74,779,Warrior IPA
75,266,Petrus Oud Bruin
76,266,Petrus Gouden Tripel Ale
77,266,Petrus Blond Ale
78,266,Petrus Dubbel Bruin Ale
79,266,Petrus Speciale
80,1202,Weizengold Hefefein
81,160,Never Summer Ale
82,1264,Modern Monks Belgian Blonde
83,1264,Grand Cru
84,210,JÃ¶rger WeiÃŸe Hell
85,1272,OSB Premium Ale
86,425,Morocco Ale
87,1047,Glacier Ale
88,1047,Bent Nail IPA
89,879,Espresso Porter
90,879,Harvest Ale
91,879,Stillwater Rye
92,879,Sharptail Pale Ale
93,879,Fat Belly Amber
94,879,Whitetail Wheat
95,879,Sandbagger Gold
96,901,Brunette Nut Brown Ale
97,901,Irish Red
98,901,Belgian Wit
99,901,EOS Hefeweizen
100,901,India Pale Ale
101,1185,Winter Ale
102,1260,Pride & Joy Mild Ale
103,1260,Robert the Bruce Scottish Ale
104,1056,Lump of Coal Dark Holiday Stout
105,1056,Warm Welcome Nut Browned Ale
106,884,Pendle Witches Brew
107,345,Carnegie Stark-Porter
108,727,Harvest Ale 2002
109,1075,Woody Organic IPA
110,620,Adriaan
111,304,Leute Bok Bier
112,905,La Folie Falling Rock
113,1315,Oak Aged IPA
